,age_group,sex,risk_factor,M,L,U,N,IncR
0,0-14,a,all,16000,8300,25000,20351587.0,78.61794758315408
1,0-14,f,all,7900,2700,13000,10140630.0,77.90443000089738
2,0-14,m,all,8600,2900,14000,10210957.0,84.22325155222964
3,0-4,f,all,4200,0,10000,3434596.0,122.28512465512684
4,0-4,m,all,5000,0,12000,3478510.0,143.7397046436549
5,15-24,f,all,7900,0,19000,5567504.0,141.8948239642037
6,15-24,m,all,18000,0,44000,5449277.000000001,330.3190496647536
7,15plus,a,all,116000,59000,174000,32654023.0,355.2395366414729
8,15plus,f,all,36000,12000,60000,16585796.999999998,217.05318110429062
9,15plus,m,all,80000,27000,133000,16068225.999999983,497.8769902788278
10,25-34,f,all,10000,0,25000,4179155.0,239.2828215273183
11,25-34,m,all,23000,0,55000,4061385.0000000005,566.3092762690559
12,35-44,f,all,7400,0,18000,2958495.000000001,250.12717614868365
13,35-44,m,all,17000,0,42000,3026121.9999999995,561.7751035814156
14,45-54,f,all,5100,0,12000,1895074.0000000007,269.11877847514126
15,45-54,m,all,12000,0,28000,1872880.9999999995,640.7241036670245
16,5-14,f,all,3700,0,9000,6706034.0,55.17419088540261
17,5-14,m,all,3600,0,8800,6732447.0,53.47238530061953
18,55-64,f,all,3000,0,7300,1117805.9999999995,268.382885760141
19,55-64,m,all,6200,0,15000,1018968.0,608.4587543475359
20,65plus,f,all,2700,0,6500,867762.9999999999,311.14486328640425
21,65plus,m,all,4600,0,11000,639593.0000000006,719.2073709374549
22,all,a,all,133000,74000,191000,53005610.000000075,250.9168369159412
23,all,f,all,44000,18000,70000,26726427.00000001,164.63105973724052
24,all,m,all,89000,36000,141000,26279183.000000007,338.6711070888314
